AVG(rating),alias,review_count,zip_code
4.00000,arcades,1173,90013
4.00000,asianfusion,191,90013
4.00000,bakeries,379,90013
3.75000,bars,102,90013
4.00000,bbq,296,90013
4.00000,beergardens,116,90013
3.50000,bowling,1010,90013
4.00000,breakfast_brunch,522,90013
4.50000,burgers,410,90013
3.00000,chinese,327,90013
3.85714,cocktailbars,152,90013
4.31250,coffee,407,90013
4.00000,coffeeroasteries,203,90013
3.50000,danceclubs,904,90013
3.75000,delis,390,90013
4.25000,desserts,156,90013
4.00000,diners,2459,90013
3.50000,divebars,103,90013
4.50000,donuts,378,90013
3.50000,filipino,630,90013
3.00000,foodstands,125,90013
4.50000,foodtrucks,162,90013
4.00000,french,1421,90013
3.50000,gaybars,179,90013
4.00000,german,273,90013
4.25000,hotdog,110,90013
4.37500,icecream,1110,90013
4.16667,italian,536,90013
3.50000,izakaya,1474,90013
4.00000,japanese,636,90013
3.50000,korean,1396,90013
4.50000,landmarks,276,90013
3.50000,lounges,451,90013
4.07143,mexican,303,90013
4.50000,mideastern,1699,90013
4.50000,museums,119,90013
4.16667,newamerican,1300,90013
3.50000,pastashops,303,90013
4.00000,pizza,168,90013
4.00000,pubs,275,90013
4.25000,ramen,475,90013
4.00000,salad,216,90013
3.50000,salvadoran,819,90013
4.50000,sandwiches,139,90013
4.00000,seafood,155,90013
4.00000,seafoodmarkets,1210,90013
4.33333,sushi,167,90013
4.50000,tacos,119,90013
4.00000,tex-mex,1250,90013
4.00000,thai,1024,90013
3.83333,tradamerican,693,90013
4.00000,vegan,1073,90013
4.50000,vegetarian,145,90013
3.25000,vietnamese,213,90013
4.50000,wine_bars,117,90013
3.25000,bars,2248,90014
4.50000,brazilian,737,90014
3.75000,breakfast_brunch,2075,90014
4.50000,bubbletea,466,90014
3.91667,burgers,127,90014
4.00000,cakeshop,113,90014
3.83333,cocktailbars,1190,90014
3.71429,coffee,441,90014
4.00000,coffeeroasteries,730,90014
3.33333,danceclubs,260,90014
4.00000,desserts,542,90014
4.00000,divebars,184,90014
3.00000,donuts,137,90014
4.00000,foodtrucks,215,90014
4.00000,gastropubs,777,90014
4.00000,gaybars,116,90014
4.00000,gyms,263,90014
5.00000,hawaiian,1144,90014
4.25000,icecream,1427,90014
4.16667,italian,291,90014
3.75000,japanese,366,90014
4.12500,juicebars,617,90014
3.90000,lounges,533,90014
4.25000,mediterranean,145,90014
4.30000,mexican,152,90014
4.00000,mideastern,364,90014
4.50000,musicvenues,304,90014
4.50000,newamerican,200,90014
4.50000,persian,132,90014
3.25000,pizza,746,90014
4.50000,pubs,402,90014
4.00000,ramen,272,90014
4.00000,salad,197,90014
3.87500,sandwiches,560,90014
4.25000,sushi,339,90014
3.50000,tacos,623,90014
4.50000,thai,167,90014
3.50000,tikibars,144,90014
3.50000,tradamerican,157,90014
4.25000,vegan,161,90014
4.50000,whiskeybars,112,90014
4.00000,wine_bars,459,90014
4.25000,argentine,1123,90046
4.00000,armenian,460,90046
4.25000,asianfusion,1139,90046
3.50000,bagels,354,90046
3.75000,bakeries,226,90046
3.50000,bars,1276,90046
3.50000,brazilian,3428,90046
3.90000,breakfast_brunch,149,90046
3.80000,burgers,426,90046
4.25000,cafes,400,90046
3.50000,cajun,1202,90046
4.00000,chicken_wings,488,90046
3.50000,chinese,526,90046
4.08333,cocktailbars,377,90046
4.05000,coffee,264,90046
4.00000,danceclubs,677,90046
3.50000,delis,118,90046
4.00000,dimsum,755,90046
3.50000,dog_parks,217,90046
4.00000,donuts,164,90046
4.50000,foodtrucks,296,90046
4.00000,gaybars,128,90046
4.00000,grocery,114,90046
3.00000,hotdog,237,90046
3.50000,hotels,146,90046
4.00000,icecream,318,90046
4.50000,indpak,161,90046
4.06250,italian,1047,90046
4.00000,japanese,104,90046
4.50000,korean,329,90046
4.50000,kosher,378,90046
4.00000,lounges,373,90046
4.50000,mediterranean,345,90046
3.62500,mexican,1457,90046
4.00000,modern_european,206,90046
4.00000,moroccan,285,90046
3.75000,musicvenues,648,90046
3.61111,newamerican,385,90046
4.04545,pizza,146,90046
4.00000,pubs,417,90046
3.75000,ramen,835,90046
4.00000,raw_food,276,90046
4.00000,russian,483,90046
4.00000,sandwiches,722,90046
4.00000,seafood,2004,90046
4.00000,speakeasies,117,90046
4.50000,sportsbars,102,90046
4.50000,sushi,406,90046
3.75000,tacos,226,90046
3.50000,taiwanese,182,90046
4.00000,thai,360,90046
4.50000,tobaccoshops,109,90046
3.75000,tradamerican,731,90046
4.50000,vegan,170,90046
4.50000,vietnamese,126,90046
